parish,ward,precinct,poll_place_name,poll_place_location,office,district,city
Caddo,0,11/9,PROVIDENCE ROAD BAPTIST CHURCH,11708 PROVIDENCE RD.,REP,1,SHREVEPORT
Caddo,0,11/10,CADDO FIRE DISTRICT #4,8240 COLQUITT RD,REP,1,KEITHVILLE
Caddo,0,12/1,W SHREVE BRANCH MEMORIAL LIBRARY,4380 PINES RD,REP,1,SHREVEPORT
Caddo,0,12/3,GREENWOOD MULTI-PURPOSE CENTER,6978 HOWELL ST,REP,1,GREENWOOD
Caddo,0,12/7,WALNUT HILL ELEMENTARY MIDDLE SCHOOL,9360 WOOLWORTH RD,REP,1,SHREVEPORT
Caddo,0,12/8,WALNUT HILL ELEMENTARY MIDDLE SCHOOL,9360 WOOLWORTH RD,REP,1,SHREVEPORT
Caddo,0,12/9,HUNTINGTON HIGH SCHOOL,6801 RASBERRY LN,REP,1,SHREVEPORT
Bossier,2,05A,BOSSIER ELEMENTARY SCHOOL,322 COLQUITT AVE,REP,2,BOSSIER CITY
Bossier,2,1/6,BOSSIER ELEMENTARY SCHOOL,322 COLQUITT AVE,REP,2,BOSSIER CITY
Bossier,2,1/8,STONEWALL FAMILY LIFE AND DEV CENTER,935 EATMAN ST,REP,2,BOSSIER CITY
Bossier,2,12A,RUSHEON MIDDLE SCHOOL,2401 OLD MINDEN RD,REP,2,BOSSIER CITY
Bossier,2,12B,RUSHEON MIDDLE SCHOOL,2401 OLD MINDEN RD,REP,2,BOSSIER CITY
Bossier,2,1/13,CENTRAL PARK ELEMENTARY SCHOOL,900 CENTRAL PARK BLVD,REP,2,BOSSIER CITY
Bossier,2,1/23,WALLER ELEMENTARY SCHOOL,1130 PATRICIA DR,REP,2,BOSSIER CITY
Bossier,4,08D,WALLER ELEMENTARY SCHOOL,1130 PATRICIA DR,REP,2,BOSSIER CITY
Caddo,0,2/10,JUDSON ELEM FUNDAMENTAL MAGNET SC,3809 JUDSON ST,REP,2,SHREVEPORT
Caddo,0,2/11,J S CLARK MICROSOCIETY MID SCHOOL,351 HEARNE AVE,REP,2,SHREVEPORT
Caddo,0,2/12,BILBERRY PARK COMMUNITY CENTER,1902 ALABAMA ST,REP,2,SHREVEPORT
Caddo,0,3/2,CHEROKEE PARK ELEM SCHOOL,2010 ALGONQUIN TR,REP,2,SHREVEPORT
Caddo,0,3/4,ACADEMIC RECOV AND CAREER DISCOV CTR,401 N HOLZMAN ST.,REP,2,SHREVEPORT
Caddo,0,3/5,BT WASHINGTON NEW TECH HS,2104 MILAM ST,REP,2,SHREVEPORT
Caddo,0,3/6,GALILEE BAPTIST CHURCH,1500 PIERRE AVE,REP,2,SHREVEPORT
Caddo,0,3/7,VALENCIA PARK COMMUNITY CENTER,1800 VIKING DR,REP,2,SHREVEPORT
Caddo,0,3/8,MALL ST VINCENT,1133 ST VINCENT AVE,REP,2,SHREVEPORT
Caddo,0,3/9,VALENCIA PARK COMMUNITY CENTER,1800 VIKING DR,REP,2,SHREVEPORT
Caddo,0,4/1,BYRD HIGH SCHOOL LEARNING CTR,700 KINGS HWY,REP,2,SHREVEPORT
Caddo,0,4/2,BYRD HIGH SCHOOL LEARNING CTR,700 KINGS HWY,REP,2,SHREVEPORT
Caddo,0,5/1,GALILEE BAPTIST CHURCH,1500 PIERRE AVE,REP,2,SHREVEPORT
Caddo,0,5/2,JUDSON ELEM FUNDAMENTAL MAGNET SC,3809 JUDSON ST,REP,2,SHREVEPORT
Caddo,0,5/3,BILBERRY PARK COMMUNITY CENTER,1902 ALABAMA ST,REP,2,SHREVEPORT
Caddo,0,5/4,MALL ST VINCENT,1133 ST VINCENT AVE,REP,2,SHREVEPORT
Caddo,0,5/5,ATKINS BRANCH SHREVE MEM LIB,3704 GREENWOOD RD,REP,2,SHREVEPORT
Caddo,0,5/6,FAIR PARK COLLEGE PREP HS,3222 GREENWOOD RD,REP,2,SHREVEPORT
Caddo,0,5/7,QUEENSBOROUGH ELEM SCHOOL,2701 CATHERINE ST,REP,2,SHREVEPORT
Caddo,0,5/8,CADDO HEIGHTS MATH/SCIENCE ELEM SCH,1702 CORBITT ST,REP,3,SHREVEPORT
Caddo,0,5/9,CADDO HEIGHTS MATH/SCIENCE ELEM SCH,1702 CORBITT ST,REP,3,SHREVEPORT
Caddo,0,5/11,CADDO HEIGHTS MATH/SCIENCE ELEM SCH,1702 CORBITT ST,REP,3,SHREVEPORT
Caddo,0,6/2,CADDO MIDDLE CAREER & TECHNOLOGY SCHOOL,6310 CLIFT AVE,REP,3,SHREVEPORT
Caddo,0,6/3,FAIRFIELD AVE. ELEM MAGNET,6215 FAIRFIELD AVE,REP,3,SHREVEPORT
Caddo,0,6/4,WOODLAWN LEADERSHIP ACADEMY,7340 WYNGATE BLVD,REP,3,SHREVEPORT
Caddo,0,6/5,LINWOOD PUBLIC CHARTER SCHOOL,401 W 70TH ST,REP,3,SHREVEPORT
Caddo,0,6/7,SOUTHERN HILLS ELEM SCHOOL,9075 KINGSTON RD,REP,3,SHREVEPORT
Caddo,0,7/5,OAK PARK ELEMENTARY/MIDDLE SCHOOL,4331 HENRY STREET,REP,3,SHREVEPORT
Caddo,0,7/6,MORNING STAR BAPTIST CHURCH,5340 JEWELLA AVE,REP,3,SHREVEPORT
Caddo,0,7/8,WESTWOOD ELEM SCHOOL,7325 JEWELLA AVE,REP,3,SHREVEPORT
Caddo,0,7/9,WESTWOOD ELEM SCHOOL,7325 JEWELLA AVE,REP,3,SHREVEPORT
Caddo,0,10/1,CADDO MIDDLE MAGNET SCHOOL,7635 CORNELIOUS LN,REP,3,SHREVEPORT
Caddo,0,10/3,LINWOOD PUBLIC CHARTER SCHOOL,401 W 70TH ST,REP,3,SHREVEPORT
Caddo,0,10/4,81ST STREET ECE CENTER,8108 FAIRFIELD AVE,REP,3,SHREVEPORT
Caddo,0,10/5,CALVARY BAPTIST CHURCH,9333 LINWOOD AVE,REP,3,SHREVEPORT
Caddo,0,10/6,CHRIST UNITED METHODIST CHURCH,1204 CRABAPPLE DR,REP,3,SHREVEPORT
Caddo,0,10/7,RIDGEWOOD MIDDLE SCHOOL,2001 RIDGEWOOD DR,REP,3,SHREVEPORT
Caddo,0,10/8,FOREST HILL ELEM SCHOOL,2005 FRANCAIS DR,REP,3,SHREVEPORT
Caddo,0,10/9,SOUTHERN HILLS ELEM SCHOOL,9075 KINGSTON RD,REP,3,SHREVEPORT
Caddo,0,11/4,HAMILTON- CADDO BRANCH LIBRARY,2111 BERT KOUNS INDUSTRIAL LOOP,REP,3,SHREVEPORT
Caddo,0,11/5,HAMILTON- CADDO BRANCH LIBRARY,2111 BERT KOUNS INDUSTRIAL LOOP,REP,3,SHREVEPORT
Bossier,1,1/1,BELLAIRE ELEMENTARY SCHOOL,1310 BELLAIRE BLVD,REP,5,BOSSIER CITY
Bossier,1,1/2,AULDS LIBRARY,3950 WAYNE AVE,REP,5,BOSSIER CITY
Bossier,1,1/3,ELM GROVE MIDDLE SCHOOL,4301 PANTHER DR,REP,5,BOSSIER CITY
Bossier,1,03A,ELM GROVE MIDDLE SCHOOL,4301 PANTHER DR,REP,5,BOSSIER CITY
Bossier,1,03B,ELM GROVE MIDDLE SCHOOL,4301 PANTHER DR,REP,5,BOSSIER CITY
Bossier,1,1/5,SUN CITY ELEMENTARY SCHOOL,4230 VAN DEEMAN,REP,5,BOSSIER CITY
Bossier,4,07A,S BOSSIER DIST #2 FIRE STATION,3551 HWY 527,REP,5,ELM GROVE
Bossier,4,07B,S BOSSIER DIST #2 FIRE STATION,3551 HWY 527,REP,5,ELM GROVE
Bossier,4,08B -1,PARKWAY HIGH SCHOOL,2010 COLLEEN DRIVE,REP,5,BOSSIER CITY
Bossier,4,08B -2,PARKWAY HIGH SCHOOL,2010 COLLEEN DRIVE,REP,5,BOSSIER CITY
Bossier,4,08C,ELM GROVE MIDDLE SCHOOL,4301 PANTHER DR,REP,5,BOSSIER CITY
Bossier,4,08E,PARKWAY HIGH SCHOOL,2010 COLLEEN DRIVE,REP,5,BOSSIER CITY
Bossier,4,08G,PARKWAY HIGH SCHOOL,2010 COLLEEN DRIVE,REP,5,BOSSIER CITY
Bossier,4,1/9,ELM GROVE ELEMENTARY SCHOOL,1541 OLD HWY 71,REP,5,ELM GROVE
Bossier,4,10/1,CURTIS ELEMENTARY SCHOOL,5600 BARKSDALE BLVD,REP,5,BOSSIER CITY
Bossier,4,10/2,CURTIS ELEMENTARY SCHOOL,5600 BARKSDALE BLVD,REP,5,BOSSIER CITY
Caddo,0,9/1,HOLY TRINITY LUTHERAN CHURCH,8895 YOUREE DR,REP,5,SHREVEPORT
Caddo,0,9/4,ELLERBE RD UNITED METHODIST CH,10130 ELLERBE CHURCH RD,REP,5,SHREVEPORT
Caddo,0,9/5,FAITH BAPTIST CHURCH,10525 LINWOOD AVENUE,REP,5,SHREVEPORT
Caddo,0,9/6,GRACE COMMUNITY UNITED METH CH,9400 ELLERBE ROAD,REP,5,SHREVEPORT
Caddo,0,9/7,ELLERBE RD UNITED METHODIST CH,10130 ELLERBE CHURCH RD,REP,5,SHREVEPORT
Caddo,0,9/9,NORRIS FERRY COMMUNITY CHURCH,10509 NORRIS FERRY RD,REP,5,SHREVEPORT
Caddo,0,9/10,NORRIS FERRY COMMUNITY CHURCH,10509 NORRIS FERRY RD,REP,5,SHREVEPORT
Caddo,0,9/11,NORRIS FERRY COMMUNITY CHURCH,10509 NORRIS FERRY RD,REP,5,SHREVEPORT
Caddo,0,9/12,ELLERBE ROAD BAPTIST CHURCH,10705 ELLERBE RD,REP,5,SHREVEPORT
Caddo,0,9/13,CADDO PARISH PORT COMMISSION,6000 DOUG ATTAWAY BLVD.,REP,5,SHREVEPORT
Red River,1,1/1,UNION HALL/HANKINS VOTING BLDG,HWY 71 SOUTH,.,REP,5
Red River,1,1/2,HICKORY GROVE FIRE STATION,HWY 507,REP,5,COUSHATTA
Red River,2,1/1,MARTIN VILLAGE HALL,HWY 507,REP,5,MARTIN
Red River,2,1/3,MARTIN VILLAGE HALL,HWY 507,REP,5,MARTIN
Red River,3,1/1,HALL SUMMIT TOWN HALL,HWY 788,REP,5,HALL SUMMIT
Red River,3,1/2,HALL SUMMITT FIRE STATION,LA HWY 788,REP,5,HALL SUMMITT
Red River,3,1/3,HALL SUMMIT TOWN HALL,HWY 788,REP,5,HALL SUMMIT
Red River,4,1/1,WESTDALE FIRE STATION,OFF HWY 1,REP,5,ABINGTON
Red River,4,1/2,CROSS ROADS FIRE STATION,HWY 71 NORTH,REP,5,COUSHATTA
Red River,4,1/3,RED RIVER ESTATES,RIDDLE STREET PARK,REP,5,COUSHATTA
Red River,4,1/5,NEW HOPE BAPTIST CHURCH #3,HWY 1 SOUTH,REP,5,HANNA
Red River,5,1/1,NEW HOPE BAPTIST CHURCH #3,HWY 1 SOUTH,REP,5,HANNA
Red River,5,1/2,FIRE STATION,1900 LISSO ST,REP,5,COUSHATTA
Red River,6,1/1,JOHN B MOSS PARK,232 PATTON ST,REP,5,COUSHATTA
Red River,6,1/2,JOHN B MOSS PARK,232 PATTON ST,REP,5,COUSHATTA
Red River,7,1/1,RED RIVER PARISH FAIRGROUNDS,FAIRGROUNDS RD,REP,5,COUSHATTA
Red River,7,1/2,EDGEFIELD VILLAGE HALL,OFF HWY 371,REP,5,EDGEFIELD
Red River,7,1/3,RED RIVER PARISH FAIRGROUNDS,FAIRGROUNDS RD,REP,5,COUSHATTA
Caddo,0,4/3,BYRD HIGH SCHOOL LEARNING CTR,700 KINGS HWY,REP,6,SHREVEPORT
Caddo,0,4/4,BROADMOOR MIDDLE LAB SCHOOL,441 ATLANTIC AVE,REP,6,SHREVEPORT
Caddo,0,4/5,BROADMOOR MIDDLE LAB SCHOOL,441 ATLANTIC AVE,REP,6,SHREVEPORT
Caddo,0,4/6,SHREVE ISLAND ELEM SCHOOL,836 SEWANEE PL,REP,6,SHREVEPORT
Caddo,0,4/7,SHREVE ISLAND ELEM SCHOOL,836 SEWANEE PL,REP,6,SHREVEPORT
Caddo,0,4/8,SOUTH HIGHLAND ELEM SCHOOL,831 ERIE ST,REP,6,SHREVEPORT
Caddo,0,4/9,BROADMOOR MIDDLE LAB SCHOOL,441 ATLANTIC AVE,REP,6,SHREVEPORT
Caddo,0,4/10,HAYNES AVE BAPTIST CHURCH,610 HAYNES AVE,REP,6,SHREVEPORT
Caddo,0,5/10,BETTY VIRGINIA PARK REC BLDG,4010 LINE AVE,REP,6,SHREVEPORT
Caddo,0,6/1,SOUTH HIGHLAND ELEM SCHOOL,831 ERIE ST,REP,6,SHREVEPORT
Caddo,0,8/1,A C STEERE ELEM SCHOOL,4009 YOUREE DR,REP,6,SHREVEPORT
Caddo,0,8/2,BROADMOOR MIDDLE LAB SCHOOL,441 ATLANTIC AVE,REP,6,SHREVEPORT
Caddo,0,8/3,YOUREE DRIVE MIDDLE SCHOOL,6008 YOUREE DR,REP,6,SHREVEPORT
Caddo,0,8/4,UNIVERSITY ELEM SCHOOL,9900 SMITHERMAN DR,REP,6,SHREVEPORT
Caddo,0,8/5,CEDAR GROVE/LINE AVENUE LIBRARY,8303 LINE AVE,REP,6,SHREVEPORT
Caddo,0,8/6,UNIVERSITY ELEM SCHOOL,9900 SMITHERMAN DR,REP,6,SHREVEPORT
Caddo,0,8/7,UNIVERSITY ELEM SCHOOL,9900 SMITHERMAN DR,REP,6,SHREVEPORT
Caddo,0,8/8,UNIVERSITY ELEM SCHOOL,9900 SMITHERMAN DR,REP,6,SHREVEPORT
Caddo,0,8/9,HOLY TRINITY LUTHERAN CHURCH,8895 YOUREE DR,REP,6,SHREVEPORT
Caddo,0,9/2,HOLY TRINITY LUTHERAN CHURCH,8895 YOUREE DR,REP,6,SHREVEPORT
Caddo,0,9/3,UNIVERSITY ELEM SCHOOL,9900 SMITHERMAN DR,REP,6,SHREVEPORT
Caddo,0,9/8,GRACE COMMUNITY UNITED METH CH,9400 ELLERBE ROAD,REP,6,SHREVEPORT
Caddo,0,10/2,CEDAR GROVE/LINE AVENUE LIBRARY,8303 LINE AVE,REP,6,SHREVEPORT
Caddo,0,11/3,SUMMERFIELD ELEM SCHOOL,3131 ARDIS TAYLOR DR,REP,7,SHREVEPORT
Caddo,0,11/7,GRAWOOD BAPTIST GYMNASIUM,5841 COLQUITT RD,REP,7,KEITHVILLE
Caddo,0,11/8,KEITHVILLE ELEM/MIDDLE SCHOOL,12201 MANSFIELD RD,REP,7,KEITHVILLE
De Soto,0,1/1,DESOTO PARISH CHAMBER OF COMMERCE,115 N. WASHINGTON AVE,REP,7,MANSFIELD
De Soto,0,1/4,SOUTH MANSFIELD COMMUNITY CENTER,1214 6TH STREET,REP,7,MANSFIELD
De Soto,0,1/5,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,05A,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,1/6,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,06A,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,06B,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,1/9,MANSFIELD LIBRARY,109 CROSBY ST,REP,7,MANSFIELD
De Soto,0,1/10,LOGANSPORT LIBRARY,203 HWY 5,REP,7,LOGANSPORT
De Soto,0,1/11,LONGSTREET TOWN HALL,13451 HWY 5,REP,7,KEATCHIE
De Soto,0,11B,GRAND CANE BAPTIST CHURCH GYM,1005 FIFTH ST.,REP,7,GRAND CANE
De Soto,0,11C,LONGSTREET TOWN HALL,13451 HWY 5,REP,7,KEATCHIE
De Soto,0,1/16,STONEWALL LIBRARY,808 HWY 171,REP,7,STONEWALL
De Soto,0,16A,STONEWALL LIBRARY,808 HWY 171,REP,7,STONEWALL
De Soto,0,16B,STONEWALL COMMUNITY CENTER,5208 HWY 3276,REP,7,STONEWALL
De Soto,0,16C,NORTH DESOTO HIGH SCHOOL,2571 HWY 171,REP,7,STONEWALL
De Soto,0,1/21,FIRE DISTRICT 9 NEW STATION,258 STONEWALL-FRIERSON RD,REP,7,FRIERSON
De Soto,0,1/22,MISSION POINT BAPTIST CHURCH,740 LINWOOD AVE,REP,7,STONEWALL
De Soto,0,22A,MISSION POINT BAPTIST CHURCH,740 LINWOOD AVE,REP,7,STONEWALL
De Soto,0,1/23,NORTH DESOTO HIGH SCHOOL,2571 HWY 171,REP,7,STONEWALL
De Soto,0,1/26,LIVING WORD CHURCH,151 BUFFALO RD.,REP,7,MANSFIELD
De Soto,0,26A,LIVING WORD CHURCH,151 BUFFALO RD.,REP,7,MANSFIELD
De Soto,0,1/28,GRAND CANE BAPTIST CHURCH GYM,1005 FIFTH ST.,REP,7,GRAND CANE
De Soto,0,1/30,STONEWALL COMMUNITY CENTER,5208 HWY 3276,REP,7,STONEWALL
De Soto,0,30A,STONEWALL COMMUNITY CENTER,5208 HWY 3276,REP,7,STONEWALL
De Soto,0,1/31,NORTH DESOTO PRE-K,2623 HWY 171,REP,7,STONEWALL
De Soto,0,31A,NORTH DESOTO PRE-K,2623 HWY 171,REP,7,STONEWALL
De Soto,0,2/1,ST MARK'S BAPTIST CHURCH,690 JANEAR CIR,REP,7,GRAND CANE
De Soto,0,2/2,FIRE DISTRICT 9 OLD STATION,5535 HWY 175,REP,7,FRIERSON
De Soto,0,33A,FIRE DISTRICT 9 OLD STATION,5535 HWY 175,REP,7,FRIERSON
De Soto,0,2/3,NORTH DESOTO PRE-K,2623 HWY 171,REP,7,STONEWALL
De Soto,0,34A,NORTH DESOTO PRE-K,2623 HWY 171,REP,7,STONEWALL
De Soto,0,34B,NORTH DESOTO PRE-K,2623 HWY 171,REP,7,STONEWALL
De Soto,0,2/4,KEATCHIE TOWN HALL,9758 HWY 5,REP,7,KEATCHIE
De Soto,0,35A,KEATCHIE TOWN HALL,9758 HWY 5,REP,7,KEATCHIE
De Soto,0,35B,KEATCHIE TOWN HALL,9758 HWY 5,REP,7,KEATCHIE
De Soto,0,2/6,GRAND CANE BAPTIST CHURCH GYM,1005 FIFTH ST.,REP,7,GRAND CANE
De Soto,0,37C,GRAND CANE BAPTIST CHURCH GYM,1005 FIFTH ST.,REP,7,GRAND CANE
De Soto,0,2/7,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,38A,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,2/11,PELICAN LIBRARY,145 JACKSON ST,REP,7,PELICAN
De Soto,0,2/13,SOUTH MANSFIELD COMMUNITY CENTER,1214 6TH STREET,REP,7,MANSFIELD
De Soto,0,2/15,STANLEY COMMUNITY CENTER,13595 HWY 84,REP,7,LOGANSPORT
De Soto,0,46A,STANLEY COMMUNITY CENTER,13595 HWY 84,REP,7,LOGANSPORT
De Soto,0,46B,SHADY GROVE UNITED METHODIST CHURCH,1630 HWY 481,REP,7,MANSFIELD
De Soto,0,2/17,SHADY GROVE UNITED METHODIST CHURCH,1630 HWY 481,REP,7,MANSFIELD
De Soto,0,2/18,LOGANSPORT LIBRARY,203 HWY 5,REP,7,LOGANSPORT
De Soto,0,49A,LOGANSPORT LIBRARY,203 HWY 5,REP,7,LOGANSPORT
De Soto,0,2/20,MAGNOLIA BAPTIST CHURCH,173 MAGNOLIA LN,REP,7,MANSFIELD
De Soto,0,2/22,BENSON COMMUNITY CENTER,121 OLD SCHOOL RD,REP,7,CONVERSE
De Soto,0,2/24,PELICAN LIBRARY,145 JACKSON ST,REP,7,PELICAN
De Soto,0,2/25,ST MARY'S CHURCH HALL,1017 HWY 346,REP,7,PELICAN
De Soto,0,2/28,MANSFIELD LIBRARY,109 CROSBY ST,REP,7,MANSFIELD
De Soto,0,2/29,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,60A,CLISTA CALHOUN CENTER,515 LOUISIANA ST.,REP,7,MANSFIELD
De Soto,0,3/3,DESOTO PARISH CHAMBER OF COMMERCE,115 N. WASHINGTON AVE,REP,7,MANSFIELD
De Soto,0,63A,DESOTO PARISH CHAMBER OF COMMERCE,115 N. WASHINGTON AVE,REP,7,MANSFIELD
Sabine,0,3/5,COURTHOUSE (POLICE JURY ROOM),400 CAPITAL ST,REP,7,MANY
Sabine,0,6/2,AIMWELL FIRE STATION,27 SKYWAGON DR,REP,7,ZWOLLE
Sabine,0,6/3,EBARB-BLUE LAKE FIRE STATION,3147 HWY 482,REP,7,NOBLE
Sabine,0,7/1,CONVERSE CITY HALL,209 W PORT ARTHUR ST,REP,7,CONVERSE
Sabine,0,7/2,NOBLE CITY HALL,423 HWY 1218,REP,7,NOBLE
Sabine,0,7/3,UNION SPRINGS FIRE STA/HATCHER,1208 HWY 191,REP,7,CONVERSE
Sabine,0,7/4,CONVERSE HIGH SCHOOL,400 WILDCAT DR,REP,7,CONVERSE
Sabine,0,7/5,MITCHELL/OAK GROVE,94 FELLOWSHIP CIR,REP,7,CONVERSE
Sabine,0,8/1,BAYOU-SCIE FIRE STATION,45 RUSSELL RD,REP,7,ZWOLLE
Sabine,0,8/2,NSFPD FIRE STATION,16525 HWY 171,REP,7,ZWOLLE
Sabine,0,8/3,NSFPD FIRE STATION,16525 HWY 171,REP,7,ZWOLLE
Sabine,0,9/1,PLEASANT HILL VILLAGE HALL,8336 PEARL ST,REP,7,PLEASANT HILL
Sabine,0,9/2,PLEASANT HILL FIRE STATION,8283 OAK ST,REP,7,PLEASANT HILL
Sabine,0,9/3,BELMONT FIRE STATION,9634 HWY 175,REP,7,BELMONT
Sabine,0,9/4,MT ZION BAPTIST CH VOTING BLDG,15064 HWY 175,REP,7,MANY
Sabine,0,9/5,CEDAR GROVE CHURCH,4560 CEDAR GROVE RD,REP,7,ROBELINE
Bossier,2,1/1,BENTON TOWN HALL,105 SIBLEY ST,REP,8,BENTON
Bossier,2,01A,BENTON COMMUNITY CENTER,202 SIBLEY ST.,REP,8,BENTON
Bossier,2,1/2,APOLLO ELEMENTARY SCHOOL,2400 VIKING DR,REP,8,BOSSIER CITY
Bossier,2,4/1,AIRLINE BAPTIST CHURCH,4007 AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,4/2,AIRLINE BAPTIST CHURCH,4007 AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,1/7,AIRLINE HIGH SCHOOL,2801 AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,1/9,PLANTATION PARK SCHOOL,2410 PLANTATION DR,REP,8,BOSSIER CITY
Bossier,2,1/10,FREEDOM BAPTIST CHURCH,2225 AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,1/11,BOSSIER CITY MUNICIPAL COMPLEX,620 BENTON RD,REP,8,BOSSIER CITY
Bossier,2,17A,MEADOWVIEW ELEMENTARY SCHOOL,4312 SHED RD,REP,8,BOSSIER CITY
Bossier,2,18B,BENTON INTERMEDIATE SCHOOL,6140 HWY 3,REP,8,BENTON
Bossier,2,18C -1,LEGACY ELEMENTARY SCHOOL,4830 SWAN LAKE ROAD,REP,8,BOSSIER CITY
Bossier,2,18C -2,LEGACY ELEMENTARY SCHOOL,4830 SWAN LAKE ROAD,REP,8,BOSSIER CITY
Bossier,2,18F,BENTON MIDDLE SCHOOL,6136 HWY 3,REP,8,BENTON
Bossier,2,18G,LEGACY ELEMENTARY SCHOOL,4830 SWAN LAKE ROAD,REP,8,BOSSIER CITY
Bossier,2,18H,KINGSTON ELEMENTARY SCHOOL,349 FAIRBURN AVE.,REP,8,BENTON
Bossier,2,18I,KINGSTON ELEMENTARY SCHOOL,349 FAIRBURN AVE.,REP,8,BENTON
Bossier,2,1/19,GREENACRES MIDDLE SCHOOL,2220 AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,21A,HARVEST FELLOWSHIP OF BOSSIER CITY,4601 AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,21B,ASBURY UNITED METHODIST CHURCH,3200 N AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,21C -1,W T LEWIS ELEMENTARY SCHOOL,4701 MODICA LOTT ROAD,REP,8,BOSSIER CITY
Bossier,2,21C -2,W T LEWIS ELEMENTARY SCHOOL,4701 MODICA LOTT ROAD,REP,8,BOSSIER CITY
Bossier,2,21D -1,STOCKWELL ELEMENTARY SCHOOL,5801 SHED RD,REP,8,BOSSIER CITY
Bossier,2,21D -2,STOCKWELL ELEMENTARY SCHOOL,5801 SHED RD,REP,8,BOSSIER CITY
Bossier,2,21E,ASBURY UNITED METHODIST CHURCH,3200 N AIRLINE DR,REP,8,BOSSIER CITY
Bossier,2,22A -1,BENTON HIGH SCHOOL,449 FAIRBURN AVE.,REP,8,BENTON
Bossier,2,22A -2,BENTON HIGH SCHOOL,449 FAIRBURN AVE.,REP,8,BENTON
Bossier,2,22B,BENTON HIGH SCHOOL,449 FAIRBURN AVE.,REP,8,BENTON
Bossier,2,22C,BENTON HIGH SCHOOL,449 FAIRBURN AVE.,REP,8,BENTON
Bossier,2,18D,BENTON ELEMENTARY SCHOOL,562 HWY 162,REP,10,BENTON
